instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	3	26.000	26.000	0.000	14	4.107	57.769
j102_4	3	27.000	27.000	0.000	185	31.004	5735.881
j102_5	3	22.000	18.000	0.182	157	45.473	7200.000
j102_6	3	25.000	25.000	0.000	70	19.926	1394.965
j102_7	3	42.000	38.000	0.095	163	43.872	7200.000
j102_9	3	27.000	27.000	0.000	133	30.978	4120.174
j102_10	3	37.000	33.000	0.108	344	20.851	7200.000
j103_2	3	20.000	20.000	0.000	106	5.430	575.867
j103_3	3	28.000	24.000	0.143	264	27.029	7200.000
j103_4	3	34.000	34.000	0.000	93	11.022	1025.249
j103_5	3	30.000	30.000	0.000	141	16.078	2267.194
j103_6	3	42.000	35.000	0.167	99	71.918	7200.000
j103_7	3	20.000	20.000	0.000	122	2.437	297.514
j103_8	3	36.000	29.000	0.194	145	48.769	7200.000
j103_9	3	30.000	30.000	0.000	94	5.652	531.524
j103_10	3	25.000	25.000	0.000	94	3.897	366.464
j104_1	3	38.000	36.000	0.053	229	31.124	7200.000
j104_2	3	30.000	28.000	0.067	185	38.643	7200.000
j104_3	3	35.000	35.000	0.000	200	7.978	1595.816
j104_4	3	21.000	19.000	0.095	261	27.374	7200.000
j104_5	3	43.000	37.000	0.140	483	14.845	7200.000
j104_6	3	33.000	33.000	0.000	169	3.721	629.095
j104_8	3	28.000	27.000	0.036	123	57.928	7200.000
j104_9	3	31.000	31.000	0.000	87	10.800	939.758
j104_10	3	24.000	24.000	0.000	46	5.889	271.040
j105_1	3	48.000	41.000	0.146	714	10.057	7200.000
j105_3	3	20.000	20.000	0.000	61	0.495	30.340
j105_4	3	21.000	20.000	0.048	354	20.183	7200.000
j105_6	3	27.000	27.000	0.000	62	1.037	64.568
j105_8	3	32.000	27.000	0.156	207	34.478	7200.000
j105_10	3	25.000	25.000	0.000	138	32.840	4532.174
j106_1	3	27.000	27.000	0.000	241	6.683	1610.876
j106_3	3	36.000	36.000	0.000	184	34.837	6410.243
j106_4	3	27.000	25.000	0.074	450	15.822	7200.000
j106_5	3	49.000	43.000	0.122	354	20.257	7200.000
j106_7	3	30.000	26.000	0.133	154	46.100	7200.000
j106_8	3	28.000	28.000	0.000	225	22.948	5163.559
j107_1	3	20.000	20.000	0.000	108	6.354	686.445
j107_2	3	35.000	35.000	0.000	55	7.056	388.246
j107_3	3	32.000	32.000	0.000	74	9.195	680.657
j107_4	3	23.000	23.000	0.000	63	2.683	169.174
j107_5	3	37.000	37.000	0.000	31	4.373	135.750
j107_6	3	53.000	39.000	0.264	302	23.702	7200.000
j107_8	3	45.000	45.000	0.000	105	20.338	2135.665
j107_9	3	44.000	44.000	0.000	15	16.055	240.972
j108_3	3	27.000	27.000	0.000	145	6.394	927.237
j108_5	3	38.000	38.000	0.000	34	4.680	159.304
j108_6	3	33.000	33.000	0.000	103	10.098	1040.282
j108_7	3	30.000	28.000	0.067	171	41.641	7200.000
j108_8	3	20.000	20.000	0.000	33	3.676	121.552
j108_10	3	33.000	33.000	0.000	134	15.090	2022.195
j1010_1	3	26.000	26.000	0.000	51	0.846	43.343
j1010_2	3	34.000	34.000	0.000	143	0.782	111.947
j1010_3	3	30.000	30.000	0.000	196	0.738	144.919
j1010_4	3	23.000	23.000	0.000	22	1.761	38.931
j1010_5	3	31.000	31.000	0.000	76	1.393	106.067
j1010_6	3	20.000	20.000	0.000	69	5.120	353.526
j1010_7	3	20.000	20.000	0.000	11	0.510	5.801
j1010_8	3	18.000	18.000	0.000	61	4.285	261.539
j1010_9	3	15.000	15.000	0.000	58	1.572	91.339
j1010_10	3	19.000	19.000	0.000	34	3.976	135.353
j1011_1	3	30.000	30.000	0.000	184	0.727	133.916
j1011_2	3	16.000	16.000	0.000	26	0.538	14.156
j1011_3	3	19.000	19.000	0.000	19	0.424	8.368
j1011_4	3	36.000	36.000	0.000	217	2.506	543.959
j1011_5	3	23.000	23.000	0.000	83	1.129	93.880
j1011_6	3	23.000	23.000	0.000	75	1.033	77.672
j1011_7	3	17.000	17.000	0.000	42	0.768	32.397
j1011_8	3	23.000	23.000	0.000	48	1.661	79.860
j1011_9	3	24.000	24.000	0.000	85	0.786	66.945
j1011_10	3	30.000	30.000	0.000	74	0.794	59.041
j1012_1	3	23.000	23.000	0.000	39	0.552	21.702
j1012_2	3	24.000	24.000	0.000	13	0.517	6.865
j1012_3	3	24.000	24.000	0.000	96	2.930	281.392
j1012_4	3	27.000	27.000	0.000	51	0.651	33.339
j1012_5	3	21.000	21.000	0.000	34	2.453	83.563
j1012_6	3	33.000	33.000	0.000	471	10.187	4798.393
j1012_7	3	19.000	19.000	0.000	24	0.602	14.702
j1012_8	3	28.000	28.000	0.000	55	0.371	20.600
j1012_9	3	32.000	32.000	0.000	90	0.828	74.742
j1012_10	3	14.000	14.000	0.000	3	0.305	1.099
j1013_1	3	24.000	24.000	0.000	60	0.702	42.253
j1013_2	3	28.000	28.000	0.000	29	1.896	55.175
j1013_3	3	27.000	27.000	0.000	53	0.599	31.932
j1013_4	3	29.000	29.000	0.000	76	0.658	50.242
j1013_5	3	16.000	16.000	0.000	58	1.591	92.511
j1013_6	3	26.000	26.000	0.000	93	7.594	706.447
j1013_7	3	19.000	19.000	0.000	29	0.530	15.535
j1013_8	3	15.000	15.000	0.000	5	0.285	1.599
j1013_9	3	23.000	23.000	0.000	64	0.599	38.540
