instance	Gamma	objval	objbound	gap	runtime
j203_2	15	29.000	29.000	0.000	29.430
j203_5	15	19.000	19.000	0.000	23.654
j205_7	15	50.000	36.396	0.272	7200.007
j206_3	15	34.000	34.000	0.000	752.321
j207_3	15	35.000	35.000	0.000	44.614
j209_1	15	44.000	44.000	0.000	961.658
j209_2	15	35.000	35.000	0.000	1101.792
j209_3	15	33.000	33.000	0.000	3978.241
j209_5	15	55.000	55.000	0.000	3151.874
j209_6	15	39.000	39.000	0.000	206.413
j209_7	15	47.000	47.000	0.000	1282.752
j209_8	15	26.000	26.000	0.000	95.051
j209_9	15	31.000	31.000	0.000	31.095
j209_10	15	34.000	34.000	0.000	770.474
j2010_1	15	28.000	28.000	0.000	34.791
j2010_2	15	37.000	37.000	0.000	33.754
j2010_3	15	31.000	31.000	0.000	41.588
j2010_4	15	29.000	29.000	0.000	23.334
j2010_5	15	33.000	33.000	0.000	127.230
j2010_6	15	40.000	40.000	0.000	87.835
j2010_7	15	34.000	34.000	0.000	221.465
j2010_8	15	27.000	27.000	0.000	42.551
j2010_9	15	33.000	33.000	0.000	144.203
j2010_10	15	44.000	44.000	0.000	18.566
j2011_1	15	33.000	33.000	0.000	20.791
j2011_2	15	28.000	28.000	0.000	26.706
j2011_3	15	40.000	40.000	0.000	17.131
j2011_4	15	47.000	47.000	0.000	63.991
j2011_5	15	34.000	34.000	0.000	26.529
j2011_6	15	50.000	50.000	0.000	70.911
j2011_7	15	36.000	36.000	0.000	71.122
j2011_8	15	30.000	30.000	0.000	22.545
j2011_9	15	32.000	32.000	0.000	23.884
j2011_10	15	41.000	41.000	0.000	21.523
j2012_1	15	29.000	29.000	0.000	10.705
j2012_2	15	31.000	31.000	0.000	26.938
j2012_3	15	55.000	55.000	0.000	30.940
j2012_4	15	28.000	28.000	0.000	25.384
j2012_5	15	36.000	36.000	0.000	17.838
j2012_6	15	31.000	31.000	0.000	25.433
j2012_7	15	32.000	32.000	0.000	17.196
j2012_8	15	45.000	45.000	0.000	34.565
j2012_9	15	49.000	49.000	0.000	28.802
j2012_10	15	32.000	32.000	0.000	23.344
j2013_1	15	40.000	30.000	0.250	7200.013
j2013_2	15	56.000	42.000	0.250	7200.016
j2013_3	15	78.000	55.000	0.295	7200.005
j2013_4	15	63.000	54.200	0.140	7200.005
j2013_5	15	53.000	35.139	0.337	7200.024
j2013_6	15	58.000	51.000	0.121	7200.016
j2013_7	15	64.000	34.000	0.469	7200.003
j2013_8	15	51.000	35.283	0.308	7200.011
j2013_9	15	61.000	40.186	0.341	7200.024
j2013_10	15	65.000	42.740	0.342	7200.020
j2014_1	15	38.000	38.000	0.000	717.445
j2014_2	15	39.000	39.000	0.000	293.898
j2014_3	15	34.000	34.000	0.000	1250.053
j2014_4	15	46.000	37.255	0.190	7200.005
j2014_5	15	47.000	46.000	0.021	7200.010
j2014_6	15	30.000	29.000	0.033	7200.029
j2014_7	15	45.000	45.000	0.000	173.556
j2014_8	15	41.000	37.000	0.098	7200.023
j2014_9	15	41.000	41.000	0.000	559.371
j2014_10	15	38.000	38.000	0.000	96.898
j2015_1	15	40.000	40.000	0.000	33.366
