instance	Gamma	objval	objbound	gap	runtime
j203_2	15	29.000	29.000	0.000	75.917
j203_5	15	19.000	19.000	0.000	15.379
j205_7	15	52.000	40.053	0.230	7200.005
j206_3	15	34.000	34.000	0.000	138.533
j207_3	15	35.000	35.000	0.000	64.035
j209_1	15	44.000	44.000	0.000	155.005
j209_2	15	35.000	35.000	0.000	326.747
j209_3	15	33.000	33.000	0.000	2964.952
j209_5	15	55.000	55.000	0.000	694.436
j209_6	15	39.000	39.000	0.000	54.782
j209_7	15	47.000	47.000	0.000	347.393
j209_8	15	26.000	26.000	0.000	89.872
j209_9	15	31.000	31.000	0.000	18.850
j209_10	15	34.000	34.000	0.000	132.281
j2010_1	15	28.000	28.000	0.000	21.685
j2010_2	15	37.000	37.000	0.000	22.528
j2010_3	15	31.000	31.000	0.000	15.913
j2010_4	15	29.000	29.000	0.000	18.733
j2010_5	15	33.000	33.000	0.000	27.379
j2010_6	15	40.000	40.000	0.000	15.832
j2010_7	15	34.000	34.000	0.000	55.560
j2010_8	15	27.000	27.000	0.000	14.161
j2010_9	15	33.000	33.000	0.000	65.176
j2010_10	15	44.000	44.000	0.000	39.355
j2011_1	15	33.000	33.000	0.000	11.452
j2011_2	15	28.000	28.000	0.000	15.066
j2011_3	15	40.000	40.000	0.000	18.755
j2011_4	15	47.000	47.000	0.000	80.912
j2011_5	15	34.000	34.000	0.000	16.623
j2011_6	15	50.000	50.000	0.000	55.762
j2011_7	15	36.000	36.000	0.000	28.411
j2011_8	15	30.000	30.000	0.000	13.095
j2011_9	15	32.000	32.000	0.000	15.456
j2011_10	15	41.000	41.000	0.000	5.617
j2012_1	15	29.000	29.000	0.000	12.871
j2012_2	15	31.000	31.000	0.000	5.341
j2012_3	15	55.000	55.000	0.000	13.553
j2012_4	15	28.000	28.000	0.000	5.542
j2012_5	15	36.000	36.000	0.000	12.813
j2012_6	15	31.000	31.000	0.000	19.967
j2012_7	15	32.000	32.000	0.000	16.201
j2012_8	15	45.000	45.000	0.000	13.702
j2012_9	15	49.000	49.000	0.000	18.250
j2012_10	15	32.000	32.000	0.000	17.922
j2013_1	15	38.000	30.000	0.211	7200.004
j2013_2	15	56.000	46.779	0.165	7200.004
j2013_3	15	73.000	55.000	0.247	7200.021
j2013_4	15	62.000	57.000	0.081	7200.028
j2013_5	15	53.000	36.420	0.313	7200.028
j2013_6	15	58.000	58.000	0.000	2053.172
j2013_7	15	59.000	40.357	0.316	7200.011
j2013_8	15	51.000	37.000	0.275	7200.007
j2013_9	15	59.000	47.329	0.198	7200.013
j2013_10	15	64.000	44.157	0.310	7200.004
j2014_1	15	38.000	38.000	0.000	986.772
j2014_2	15	39.000	39.000	0.000	195.711
j2014_3	15	34.000	34.000	0.000	244.363
j2014_4	15	45.000	45.000	0.000	3016.405
j2014_5	15	47.000	47.000	0.000	1507.964
j2014_6	15	30.000	30.000	0.000	2265.122
j2014_7	15	45.000	45.000	0.000	42.573
j2014_8	15	41.000	41.000	0.000	6630.555
j2014_9	15	41.000	41.000	0.000	210.857
j2014_10	15	38.000	38.000	0.000	68.048
j2015_1	15	40.000	40.000	0.000	24.078
j2015_2	15	39.000	39.000	0.000	33.772
j2015_3	15	40.000	40.000	0.000	42.466
j2015_4	15	43.000	43.000	0.000	26.998
j2015_5	15	38.000	38.000	0.000	20.002
j2015_6	15	30.000	30.000	0.000	23.395
j2015_7	15	43.000	43.000	0.000	16.354
j2015_8	15	35.000	35.000	0.000	59.874
j2015_9	15	32.000	32.000	0.000	17.581
j2015_10	15	37.000	37.000	0.000	16.712
j2016_1	15	37.000	37.000	0.000	17.939
j2016_2	15	36.000	36.000	0.000	23.409
j2016_3	15	50.000	50.000	0.000	16.355
j2016_4	15	58.000	58.000	0.000	14.329
j2016_5	15	31.000	31.000	0.000	19.993
j2016_6	15	58.000	58.000	0.000	17.321
j2016_7	15	39.000	39.000	0.000	11.132
j2016_8	15	42.000	42.000	0.000	21.775
j2016_9	15	29.000	29.000	0.000	26.838
j2016_10	15	62.000	62.000	0.000	18.167
j2017_1	15	26.000	25.999	0.000	999.344
j2017_2	15	58.000	50.000	0.138	7200.004
j2017_3	15	51.000	51.000	0.000	112.538
j2017_4	15	48.000	48.000	0.000	100.155
j2017_5	15	29.000	29.000	0.000	482.559
j2017_6	15	57.000	57.000	0.000	1167.116
j2017_7	15	42.000	42.000	0.000	141.621
j2017_8	15	44.000	44.000	0.000	325.699
j2017_9	15	27.000	27.000	0.000	753.118
j2017_10	15	44.000	44.000	0.000	4043.885
j2018_1	15	48.000	48.000	0.000	16.719
j2018_2	15	42.000	42.000	0.000	20.337
j2018_3	15	31.000	31.000	0.000	117.895
j2018_4	15	34.000	34.000	0.000	90.327
j2018_5	15	36.000	36.000	0.000	21.184
j2018_6	15	34.000	34.000	0.000	34.562
j2018_7	15	40.000	40.000	0.000	21.896
j2018_8	15	46.000	46.000	0.000	22.043
j2018_9	15	33.000	33.000	0.000	26.211
j2018_10	15	40.000	40.000	0.000	22.441
j2019_1	15	40.000	40.000	0.000	16.323
j2019_2	15	31.000	31.000	0.000	17.453
j2019_3	15	43.000	43.000	0.000	23.810
j2019_4	15	30.000	30.000	0.000	16.452
j2019_5	15	36.000	36.000	0.000	25.906
j2019_6	15	57.000	57.000	0.000	18.756
j2019_7	15	46.000	46.000	0.000	18.835
j2019_8	15	33.000	33.000	0.000	7.566
j2019_9	15	30.000	30.000	0.000	12.632
j2019_10	15	53.000	53.000	0.000	94.600
j2020_1	15	39.000	39.000	0.000	13.752
j2020_2	15	45.000	45.000	0.000	11.982
j2020_3	15	33.000	33.000	0.000	8.098
j2020_4	15	36.000	36.000	0.000	6.342
j2020_5	15	32.000	32.000	0.000	7.146
j2020_6	15	33.000	33.000	0.000	12.126
j2020_7	15	39.000	39.000	0.000	21.857
j2020_8	15	26.000	26.000	0.000	6.607
j2020_9	15	54.000	54.000	0.000	16.776
j2020_10	15	33.000	33.000	0.000	7.705
j2021_1	15	51.000	43.000	0.157	7200.006
j2021_2	15	73.000	57.000	0.219	7200.006
j2021_3	15	52.000	50.000	0.038	7200.064
j2021_4	15	65.000	62.000	0.046	7200.029
j2021_5	15	50.000	46.000	0.080	7200.017
j2021_6	15	38.000	38.000	0.000	3461.970
j2021_7	15	50.000	43.000	0.140	7200.008
j2021_8	15	55.000	42.400	0.229	7200.023
j2021_9	15	53.000	45.167	0.148	7200.006
j2021_10	15	46.000	36.000	0.217	7200.006
j2022_1	15	42.000	42.000	0.000	23.732
j2022_2	15	48.000	48.000	0.000	66.178
j2022_3	15	37.000	37.000	0.000	1886.908
j2022_4	15	41.000	36.038	0.121	7200.021
j2022_5	15	38.000	32.750	0.138	7200.022
j2022_6	15	39.000	39.000	0.000	18.784
j2022_7	15	33.000	33.000	0.000	1223.723
j2022_8	15	54.000	54.000	0.000	355.763
j2022_9	15	33.000	33.000	0.000	65.452
j2022_10	15	47.000	47.000	0.000	32.688
j2023_1	15	40.000	40.000	0.000	21.543
j2023_2	15	36.000	36.000	0.000	19.955
j2023_3	15	45.000	45.000	0.000	20.935
j2023_4	15	40.000	40.000	0.000	25.294
j2023_5	15	35.000	35.000	0.000	34.715
j2023_6	15	35.000	35.000	0.000	68.351
j2023_7	15	30.000	30.000	0.000	21.206
j2023_8	15	29.000	29.000	0.000	76.350
j2023_9	15	27.000	27.000	0.000	100.650
j2023_10	15	41.000	41.000	0.000	28.996
j2024_1	15	43.000	43.000	0.000	7.617
j2024_2	15	50.000	50.000	0.000	22.217
j2024_3	15	26.000	26.000	0.000	17.641
j2024_4	15	42.000	42.000	0.000	22.268
j2024_5	15	51.000	51.000	0.000	13.869
j2024_6	15	22.000	22.000	0.000	16.841
j2024_7	15	29.000	29.000	0.000	19.661
j2024_8	15	44.000	44.000	0.000	19.329
j2024_9	15	38.000	38.000	0.000	20.306
j2024_10	15	29.000	29.000	0.000	9.291
j2025_1	15	60.000	60.000	0.000	2157.659
j2025_2	15	32.000	32.000	0.000	718.356
j2025_3	15	33.000	33.000	0.000	459.566
j2025_4	15	39.000	39.000	0.000	781.474
j2025_5	15	47.000	47.000	0.000	182.490
j2025_6	15	40.000	40.000	0.000	24.165
j2025_7	15	40.000	40.000	0.000	48.284
j2025_8	15	27.000	27.000	0.000	39.303
j2025_9	15	37.000	37.000	0.000	1209.879
j2025_10	15	50.000	50.000	0.000	1138.791
j2026_1	15	34.000	34.000	0.000	16.789
j2026_2	15	33.000	33.000	0.000	97.394
j2026_3	15	42.000	42.000	0.000	28.396
j2026_4	15	35.000	35.000	0.000	51.373
