instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j203_2	15	29.000	29.000	0.000	92	3.128	288.252
j203_5	15	19.000	19.000	0.000	78	0.787	61.837
j205_7	15	inf	-inf	nan	0	inf	7200.000
j206_3	15	34.000	24.000	0.294	102	68.213	7200.000
j207_3	15	35.000	35.000	0.000	410	2.856	1171.419
j209_1	15	44.000	30.000	0.318	59	119.383	7200.000
j209_2	15	35.000	25.000	0.286	61	114.562	7200.000
j209_3	15	33.000	23.000	0.303	9	671.413	7200.000
j209_5	15	55.000	37.000	0.327	48	140.186	7200.000
j209_6	15	39.000	29.000	0.256	65	108.061	7200.000
j209_7	15	47.000	32.000	0.319	79	87.811	7200.000
j209_8	15	26.000	20.000	0.231	112	62.693	7200.000
j209_9	15	31.000	27.000	0.129	720	9.983	7200.000
j209_10	15	34.000	26.000	0.235	151	46.204	7200.000
j2010_1	15	28.000	28.000	0.000	389	1.966	765.640
j2010_2	15	37.000	37.000	0.000	339	1.467	497.877
j2010_3	15	31.000	31.000	0.000	393	4.559	1792.477
j2010_4	15	29.000	29.000	0.000	225	0.993	224.284
j2010_5	15	33.000	31.000	0.061	865	8.309	7200.000
j2010_6	15	40.000	29.000	0.275	128	55.173	7200.000
j2010_7	15	34.000	34.000	0.000	490	2.033	996.827
j2010_8	15	27.000	27.000	0.000	58	1.820	106.145
j2010_9	15	32.000	26.000	0.187	159	44.844	7200.000
j2010_10	15	44.000	43.000	0.023	1400	5.137	7200.000
j2011_1	15	33.000	33.000	0.000	160	0.838	134.528
j2011_2	15	28.000	28.000	0.000	122	0.861	105.481
j2011_3	15	40.000	40.000	0.000	535	3.602	1927.485
j2011_4	15	47.000	34.000	0.277	225	31.791	7200.000
j2011_5	15	34.000	34.000	0.000	561	3.089	1733.822
j2011_6	15	50.000	50.000	0.000	265	1.297	344.047
j2011_7	15	36.000	36.000	0.000	231	2.373	548.730
j2011_8	15	30.000	30.000	0.000	242	1.252	303.462
j2011_9	15	32.000	32.000	0.000	212	0.835	177.976
j2011_10	15	41.000	41.000	0.000	550	1.427	785.734
j2012_1	15	29.000	29.000	0.000	102	0.577	59.247
j2012_2	15	31.000	31.000	0.000	60	0.699	42.395
j2012_3	15	55.000	55.000	0.000	751	1.645	1235.817
j2012_4	15	28.000	28.000	0.000	153	0.723	111.031
j2012_5	15	36.000	36.000	0.000	569	1.243	707.483
j2012_6	15	31.000	31.000	0.000	93	0.909	84.954
j2012_7	15	32.000	32.000	0.000	277	0.797	221.308
j2012_8	15	45.000	45.000	0.000	776	1.061	824.294
j2012_9	15	49.000	49.000	0.000	985	2.434	2398.362
j2012_10	15	32.000	32.000	0.000	162	3.081	499.554
j2013_1	15	inf	-inf	nan	0	inf	7200.000
j2013_2	15	inf	-inf	nan	0	inf	7200.000
j2013_3	15	inf	-inf	nan	0	inf	7200.000
j2013_4	15	63.000	39.000	0.381	3	1668.589	7200.000
j2013_5	15	inf	-inf	nan	0	inf	7200.000
j2013_6	15	58.000	37.000	0.362	9	625.121	7200.000
j2013_7	15	inf	-inf	nan	0	inf	7200.000
j2013_8	15	inf	-inf	nan	0	inf	7200.000
j2013_9	15	58.000	36.000	0.379	1	1890.750	7200.000
j2013_10	15	inf	-inf	nan	0	inf	7200.000
j2014_1	15	38.000	25.000	0.342	44	157.478	7200.000
j2014_2	15	39.000	27.000	0.308	163	43.110	7200.000
j2014_3	15	34.000	22.000	0.353	50	139.478	7200.000
j2014_4	15	45.000	28.000	0.378	23	299.941	7200.000
j2014_5	15	47.000	30.000	0.362	17	386.826	7200.000
j2014_6	15	30.000	20.000	0.333	20	320.184	7200.000
j2014_7	15	45.000	34.000	0.244	710	10.106	7200.000
j2014_8	15	41.000	27.000	0.341	3	1762.027	7200.000
j2014_9	15	41.000	27.000	0.341	127	55.591	7200.000
j2014_10	15	38.000	27.000	0.289	348	20.592	7200.000
j2015_1	15	40.000	37.000	0.075	1671	4.306	7200.000
j2015_2	15	39.000	39.000	0.000	324	10.456	3388.018
j2015_3	15	40.000	40.000	0.000	299	3.812	1140.196
j2015_4	15	43.000	43.000	0.000	249	1.694	422.438
j2015_5	15	38.000	36.000	0.053	865	8.279	7200.000
j2015_6	15	30.000	30.000	0.000	319	1.020	325.968
j2015_7	15	43.000	43.000	0.000	263	2.296	604.445
j2015_8	15	35.000	35.000	0.000	290	6.720	1949.493
j2015_9	15	32.000	32.000	0.000	433	3.797	1644.451
j2015_10	15	37.000	37.000	0.000	632	3.150	1991.647
j2016_1	15	37.000	36.000	0.027	1545	4.656	7200.000
j2016_2	15	36.000	36.000	0.000	484	1.195	578.754
j2016_3	15	50.000	50.000	0.000	782	0.718	561.940
j2016_4	15	58.000	48.000	0.172	1801	3.983	7200.000
j2016_5	15	31.000	31.000	0.000	761	4.780	3638.508
j2016_6	15	58.000	48.000	0.172	1575	4.566	7200.000
j2016_7	15	39.000	39.000	0.000	688	0.865	595.754
j2016_8	15	42.000	41.000	0.024	1905	3.776	7200.000
j2016_9	15	29.000	29.000	0.000	64	0.949	61.188
j2016_10	15	62.000	54.000	0.129	2039	3.529	7200.000
j2017_1	15	26.000	19.000	0.269	40	174.092	7200.000
j2017_2	15	58.000	38.000	0.345	8	685.489	7200.000
j2017_3	15	51.000	38.000	0.255	799	8.991	7200.000
j2017_4	15	48.000	34.000	0.292	62	113.623	7200.000
j2017_5	15	29.000	21.000	0.276	43	157.695	7200.000
j2017_6	15	57.000	40.000	0.298	99	71.791	7200.000
j2017_7	15	42.000	31.000	0.262	76	85.748	7200.000
j2017_8	15	44.000	34.000	0.227	83	84.305	7200.000
j2017_9	15	27.000	20.000	0.259	82	85.069	7200.000
j2017_10	15	44.000	30.000	0.318	34	197.356	7200.000
j2018_1	15	48.000	48.000	0.000	671	1.272	854.022
