instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	0	18.000	18.000	0.000	1	0.661	0.773
j102_4	0	18.000	18.000	0.000	1	0.826	0.935
j102_5	0	14.000	14.000	0.000	1	3.080	3.193
j102_6	0	16.000	16.000	0.000	1	2.006	2.119
j102_7	0	25.000	25.000	0.000	1	0.933	1.045
j102_9	0	17.000	17.000	0.000	1	1.097	1.207
j102_10	0	25.000	25.000	0.000	1	5.169	5.306
j103_2	0	13.000	13.000	0.000	1	0.809	0.914
j103_3	0	18.000	18.000	0.000	1	1.254	1.361
j103_4	0	23.000	23.000	0.000	1	1.054	1.160
j103_5	0	19.000	19.000	0.000	1	1.286	1.395
j103_6	0	29.000	29.000	0.000	1	4.073	4.184
j103_7	0	14.000	14.000	0.000	1	0.346	0.455
j103_8	0	23.000	23.000	0.000	1	3.308	3.418
j103_9	0	20.000	20.000	0.000	1	0.941	1.110
j103_10	0	16.000	16.000	0.000	1	0.384	0.492
j104_1	0	27.000	27.000	0.000	1	1.212	1.328
j104_2	0	20.000	20.000	0.000	1	1.512	1.621
j104_3	0	23.000	23.000	0.000	1	1.126	1.237
j104_4	0	15.000	15.000	0.000	1	2.029	2.146
j104_5	0	31.000	31.000	0.000	1	3.045	3.154
j104_6	0	21.000	21.000	0.000	1	0.380	0.490
j104_8	0	19.000	19.000	0.000	1	2.167	2.289
j104_9	0	21.000	21.000	0.000	1	1.015	1.121
j104_10	0	15.000	15.000	0.000	1	0.733	0.841
j105_1	0	32.000	32.000	0.000	1	1.567	1.677
j105_3	0	13.000	13.000	0.000	1	0.161	0.277
j105_4	0	14.000	14.000	0.000	1	0.561	0.671
j105_6	0	17.000	17.000	0.000	1	0.238	0.349
j105_8	0	21.000	21.000	0.000	1	3.585	3.719
j105_10	0	16.000	16.000	0.000	1	0.806	0.913
j106_1	0	17.000	17.000	0.000	1	0.479	0.589
j106_3	0	22.000	22.000	0.000	1	0.609	0.719
j106_4	0	19.000	19.000	0.000	1	2.323	2.432
j106_5	0	35.000	35.000	0.000	1	4.412	4.519
j106_7	0	20.000	20.000	0.000	1	2.190	2.300
j106_8	0	19.000	19.000	0.000	1	1.266	1.381
j107_1	0	13.000	13.000	0.000	1	0.425	0.556
j107_2	0	21.000	21.000	0.000	1	1.142	1.255
j107_3	0	21.000	21.000	0.000	1	1.289	1.398
j107_4	0	16.000	16.000	0.000	1	0.471	0.579
j107_5	0	24.000	24.000	0.000	1	0.837	0.944
j107_6	0	36.000	36.000	0.000	1	5.704	5.817
j107_8	0	31.000	31.000	0.000	1	3.727	3.835
j107_9	0	28.000	28.000	0.000	1	2.711	2.822
j108_3	0	17.000	17.000	0.000	1	0.227	0.355
j108_5	0	25.000	25.000	0.000	1	1.775	1.892
j108_6	0	23.000	23.000	0.000	1	1.488	1.595
j108_7	0	20.000	20.000	0.000	1	1.860	1.969
