instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	3	26.000	20.000	0.231	766	1.568	1200.000
j102_4	3	27.000	19.000	0.296	451	2.669	1200.000
j102_5	3	22.000	15.000	0.318	245	4.912	1200.000
j102_6	3	25.000	18.000	0.280	396	3.032	1200.000
j102_7	3	42.000	28.000	0.333	411	2.921	1200.000
j102_9	3	27.000	19.000	0.296	374	3.219	1200.000
j102_10	3	37.000	27.000	0.270	225	5.334	1200.000
j103_2	3	20.000	15.000	0.250	750	1.601	1200.000
j103_3	3	28.000	20.000	0.286	503	2.396	1200.000
j103_4	3	34.000	24.000	0.294	680	1.766	1200.000
j103_5	3	30.000	23.000	0.233	367	3.278	1200.000
j103_6	3	42.000	30.000	0.286	173	6.961	1200.000
j103_7	3	20.000	16.000	0.200	850	1.412	1200.000
j103_8	3	36.000	25.000	0.306	203	5.936	1200.000
j103_9	3	30.000	28.000	0.067	410	2.935	1200.000
j103_10	3	25.000	17.000	0.320	1152	1.043	1200.000
j104_1	3	38.000	29.000	0.237	527	2.283	1200.000
j104_2	3	30.000	22.000	0.267	349	3.442	1200.000
j104_3	3	35.000	27.000	0.229	476	2.529	1200.000
j104_4	3	21.000	15.000	0.286	500	2.405	1200.000
j104_5	3	43.000	32.000	0.256	366	3.285	1200.000
j104_6	3	33.000	22.000	0.333	844	1.424	1200.000
j104_8	3	28.000	21.000	0.250	304	3.956	1200.000
j104_9	3	31.000	23.000	0.258	516	2.337	1200.000
j104_10	3	24.000	18.000	0.250	811	1.481	1200.000
j105_1	3	48.000	34.000	0.292	381	3.153	1200.000
j105_3	3	20.000	18.000	0.100	1070	1.123	1200.000
j105_4	3	21.000	15.000	0.286	647	1.858	1200.000
j105_6	3	27.000	19.000	0.296	884	1.360	1200.000
j105_8	3	32.000	24.000	0.250	212	5.662	1200.000
j105_10	3	25.000	19.000	0.240	426	2.825	1200.000
j106_1	3	27.000	18.000	0.333	919	1.308	1200.000
j106_3	3	36.000	25.000	0.306	439	2.735	1200.000
j106_4	3	27.000	20.000	0.259	484	2.483	1200.000
j106_5	3	49.000	41.000	0.163	205	5.873	1200.000
j106_7	3	30.000	23.000	0.233	249	4.822	1200.000
j106_8	3	28.000	22.000	0.214	446	2.700	1200.000
j107_1	3	20.000	16.000	0.200	653	1.841	1200.000
j107_2	3	35.000	50.000	0.429	110	1.974	217.262
