instance	Gamma	objval	objbound	gap	runtime
j102_2	3	26.000	26.000	0.000	0.666
j102_4	3	27.000	27.000	0.000	0.932
j102_5	3	22.000	22.000	0.000	2.628
j102_6	3	25.000	25.000	0.000	3.266
j102_7	3	42.000	42.000	0.000	2.648
j102_9	3	27.000	27.000	0.000	3.603
j102_10	3	37.000	37.000	0.000	6.880
j103_2	3	20.000	20.000	0.000	1.502
j103_3	3	28.000	28.000	0.000	2.074
j103_4	3	34.000	34.000	0.000	0.871
j103_5	3	30.000	30.000	0.000	2.189
j103_6	3	42.000	42.000	0.000	7.297
j103_7	3	20.000	20.000	0.000	0.309
j103_8	3	36.000	36.000	0.000	3.201
j103_9	3	30.000	30.000	0.000	1.523
j103_10	3	25.000	25.000	0.000	0.536
j104_1	3	38.000	38.000	0.000	1.001
j104_2	3	30.000	30.000	0.000	2.290
j104_3	3	35.000	35.000	0.000	1.498
j104_4	3	21.000	21.000	0.000	2.199
j104_5	3	43.000	43.000	0.000	2.632
j104_6	3	33.000	33.000	0.000	0.589
j104_8	3	28.000	28.000	0.000	2.872
j104_9	3	31.000	31.000	0.000	1.138
j104_10	3	24.000	24.000	0.000	0.541
j105_1	3	48.000	48.000	0.000	2.693
j105_3	3	20.000	20.000	0.000	0.120
j105_4	3	21.000	21.000	0.000	0.882
j105_6	3	27.000	27.000	0.000	0.204
j105_8	3	32.000	32.000	0.000	3.848
j105_10	3	25.000	25.000	0.000	1.577
j106_1	3	27.000	27.000	0.000	0.699
j106_3	3	36.000	36.000	0.000	0.303
j106_4	3	27.000	27.000	0.000	2.004
j106_5	3	49.000	49.000	0.000	5.378
j106_7	3	30.000	30.000	0.000	2.335
j106_8	3	28.000	28.000	0.000	1.840
j107_1	3	20.000	20.000	0.000	0.709
j107_2	3	35.000	35.000	0.000	2.268
j107_3	3	32.000	32.000	0.000	2.328
j107_4	3	23.000	23.000	0.000	0.193
j107_5	3	37.000	37.000	0.000	1.156
j107_6	3	53.000	53.000	0.000	4.732
j107_8	3	45.000	45.000	0.000	3.488
j107_9	3	44.000	44.000	0.000	4.484
j108_3	3	27.000	27.000	0.000	0.393
j108_5	3	38.000	38.000	0.000	1.589
j108_6	3	33.000	33.000	0.000	2.218
j108_7	3	30.000	30.000	0.000	1.354
j108_8	3	20.000	20.000	0.000	0.591
j108_10	3	33.000	33.000	0.000	1.477
j1010_1	3	26.000	26.000	0.000	0.154
j1010_2	3	34.000	34.000	0.000	0.179
j1010_3	3	30.000	30.000	0.000	0.185
j1010_4	3	23.000	23.000	0.000	0.146
j1010_5	3	31.000	31.000	0.000	0.160
j1010_6	3	20.000	20.000	0.000	0.509
j1010_7	3	20.000	20.000	0.000	0.075
j1010_8	3	18.000	18.000	0.000	0.358
j1010_9	3	15.000	15.000	0.000	0.228
j1010_10	3	19.000	19.000	0.000	0.211
j1011_1	3	30.000	30.000	0.000	0.139
j1011_2	3	16.000	16.000	0.000	0.152
j1011_3	3	19.000	19.000	0.000	0.123
j1011_4	3	36.000	36.000	0.000	0.160
j1011_5	3	23.000	23.000	0.000	0.208
j1011_6	3	23.000	23.000	0.000	0.140
j1011_7	3	17.000	17.000	0.000	0.282
j1011_8	3	23.000	23.000	0.000	0.536
j1011_9	3	24.000	24.000	0.000	0.162
j1011_10	3	30.000	30.000	0.000	0.185
j1012_1	3	23.000	23.000	0.000	0.168
j1012_2	3	24.000	24.000	0.000	0.227
j1012_3	3	24.000	24.000	0.000	0.355
j1012_4	3	27.000	27.000	0.000	0.144
j1012_5	3	21.000	21.000	0.000	0.238
j1012_6	3	33.000	33.000	0.000	0.264
j1012_7	3	19.000	19.000	0.000	0.110
j1012_8	3	28.000	28.000	0.000	0.126
j1012_9	3	32.000	32.000	0.000	0.107
j1012_10	3	14.000	14.000	0.000	0.140
j1013_1	3	24.000	24.000	0.000	0.133
j1013_2	3	28.000	28.000	0.000	0.216
j1013_3	3	27.000	27.000	0.000	0.174
j1013_4	3	29.000	29.000	0.000	0.157
j1013_5	3	16.000	16.000	0.000	0.265
j1013_6	3	26.000	26.000	0.000	0.475
j1013_7	3	19.000	19.000	0.000	0.099
j1013_8	3	15.000	15.000	0.000	0.183
j1013_9	3	23.000	23.000	0.000	0.242
j1013_10	3	19.000	19.000	0.000	0.156
j1014_1	3	21.000	21.000	0.000	0.145
j1014_2	3	22.000	22.000	0.000	0.164
j1014_3	3	28.000	28.000	0.000	0.278
j1014_4	3	26.000	26.000	0.000	0.167
j1014_5	3	30.000	30.000	0.000	0.213
j1014_6	3	22.000	22.000	0.000	0.342
j1014_7	3	23.000	23.000	0.000	0.294
j1014_8	3	29.000	29.000	0.000	0.340
j1014_9	3	31.000	31.000	0.000	0.237
j1014_10	3	14.000	14.000	0.000	0.128
j1015_1	3	20.000	20.000	0.000	0.319
j1015_2	3	36.000	36.000	0.000	0.330
j1015_3	3	23.000	23.000	0.000	0.132
j1015_4	3	16.000	16.000	0.000	0.193
j1015_5	3	10.000	10.000	0.000	0.183
j1015_6	3	28.000	28.000	0.000	0.589
j1015_7	3	13.000	13.000	0.000	0.124
j1015_8	3	16.000	16.000	0.000	0.216
j1015_9	3	21.000	21.000	0.000	0.422
j1015_10	3	27.000	27.000	0.000	0.237
j1016_1	3	21.000	21.000	0.000	0.184
j1016_2	3	25.000	25.000	0.000	0.107
j1016_3	3	18.000	18.000	0.000	0.218
j1016_4	3	29.000	29.000	0.000	0.269
j1016_5	3	38.000	38.000	0.000	0.179
j1016_6	3	33.000	33.000	0.000	1.173
j1016_7	3	19.000	19.000	0.000	0.138
j1016_8	3	13.000	13.000	0.000	0.416
j1016_9	3	25.000	25.000	0.000	0.258
j1016_10	3	40.000	40.000	0.000	0.154
j1018_1	3	21.000	21.000	0.000	0.312
j1018_2	3	22.000	22.000	0.000	0.233
j1018_3	3	23.000	23.000	0.000	0.125
j1018_4	3	26.000	26.000	0.000	0.140
j1018_5	3	19.000	19.000	0.000	0.196
j1018_6	3	23.000	23.000	0.000	0.154
j1018_7	3	18.000	18.000	0.000	0.067
j1018_8	3	25.000	25.000	0.000	0.103
j1018_9	3	19.000	19.000	0.000	0.139
j1018_10	3	23.000	23.000	0.000	0.141
j1019_1	3	21.000	21.000	0.000	0.161
j1019_2	3	23.000	23.000	0.000	0.068
j1019_3	3	25.000	25.000	0.000	0.102
j1019_4	3	24.000	24.000	0.000	0.218
j1019_5	3	20.000	20.000	0.000	0.205
j1019_6	3	25.000	25.000	0.000	0.167
j1019_7	3	22.000	22.000	0.000	0.154
j1019_8	3	21.000	21.000	0.000	0.155
j1019_9	3	18.000	18.000	0.000	0.172
j1019_10	3	16.000	16.000	0.000	0.189
j1020_1	3	18.000	18.000	0.000	0.145
j1020_2	3	27.000	27.000	0.000	0.186
j1020_3	3	33.000	33.000	0.000	0.161
j1020_4	3	26.000	26.000	0.000	0.135
j1020_5	3	18.000	18.000	0.000	0.150
j1020_6	3	29.000	29.000	0.000	0.130
j1020_8	3	18.000	18.000	0.000	0.165
j1020_9	3	13.000	13.000	0.000	0.185
j1020_10	3	16.000	16.000	0.000	0.152
j1021_1	3	27.000	27.000	0.000	0.104
j1021_2	3	19.000	19.000	0.000	0.129
j1021_3	3	38.000	38.000	0.000	0.161
j1021_4	3	18.000	18.000	0.000	0.164
j1021_5	3	33.000	33.000	0.000	0.156
j1021_6	3	19.000	19.000	0.000	0.156
j1021_7	3	17.000	17.000	0.000	0.151
j1021_8	3	18.000	18.000	0.000	0.208
j1021_9	3	18.000	18.000	0.000	0.351
j1021_10	3	25.000	25.000	0.000	0.218
j1022_1	3	25.000	25.000	0.000	0.189
j1022_2	3	16.000	16.000	0.000	0.184
j1022_3	3	31.000	31.000	0.000	0.152
j1022_4	3	21.000	21.000	0.000	0.146
j1022_5	3	19.000	19.000	0.000	0.104
j1022_6	3	24.000	24.000	0.000	0.121
j1022_7	3	12.000	12.000	0.000	0.135
j1022_8	3	26.000	26.000	0.000	0.165
j1022_9	3	29.000	29.000	0.000	0.151
j1022_10	3	26.000	26.000	0.000	0.162
j1023_1	3	21.000	21.000	0.000	0.168
j1023_2	3	22.000	22.000	0.000	0.103
j1023_3	3	24.000	24.000	0.000	0.170
j1023_4	3	24.000	24.000	0.000	0.097
j1023_5	3	23.000	23.000	0.000	0.259
j1023_6	3	28.000	28.000	0.000	0.172
j1023_8	3	27.000	27.000	0.000	0.245
j1023_9	3	17.000	17.000	0.000	0.146
j1023_10	3	24.000	24.000	0.000	0.127
j1024_1	3	11.000	11.000	0.000	0.139
j1024_2	3	22.000	22.000	0.000	0.110
j1024_3	3	15.000	15.000	0.000	0.098
j1024_4	3	22.000	22.000	0.000	0.144
j1024_5	3	22.000	22.000	0.000	0.137
j1024_6	3	26.000	26.000	0.000	0.264
j1024_7	3	26.000	26.000	0.000	0.124
j1024_8	3	37.000	37.000	0.000	0.196
j1024_9	3	16.000	16.000	0.000	0.112
j1024_10	3	24.000	24.000	0.000	0.106
j1026_1	3	22.000	22.000	0.000	0.103
j1026_2	3	16.000	16.000	0.000	0.120
j1026_3	3	26.000	26.000	0.000	0.102
j1026_4	3	22.000	22.000	0.000	0.143
j1026_5	3	25.000	25.000	0.000	0.120
j1026_6	3	26.000	26.000	0.000	0.146
j1026_7	3	22.000	22.000	0.000	0.119
j1026_8	3	24.000	24.000	0.000	0.136
j1026_9	3	18.000	18.000	0.000	0.066
j1026_10	3	24.000	24.000	0.000	0.084
j1027_1	3	24.000	24.000	0.000	0.147
j1027_2	3	18.000	18.000	0.000	0.122
j1027_3	3	23.000	23.000	0.000	0.124
j1027_4	3	22.000	22.000	0.000	0.194
j1027_5	3	25.000	25.000	0.000	0.140
j1027_6	3	22.000	22.000	0.000	0.091
j1027_7	3	15.000	15.000	0.000	0.101
j1027_8	3	19.000	19.000	0.000	0.131
j1027_9	3	23.000	23.000	0.000	0.105
j1027_10	3	22.000	22.000	0.000	0.159
j1028_1	3	30.000	30.000	0.000	0.134
j1028_2	3	37.000	37.000	0.000	0.209
j1028_3	3	31.000	31.000	0.000	0.155
j1028_4	3	25.000	25.000	0.000	0.108
j1028_5	3	27.000	27.000	0.000	0.098
j1028_6	3	13.000	13.000	0.000	0.066
j1028_7	3	24.000	24.000	0.000	0.106
j1028_8	3	24.000	24.000	0.000	0.111
j1028_9	3	18.000	18.000	0.000	0.107
j1028_10	3	28.000	28.000	0.000	0.151
j1029_1	3	23.000	23.000	0.000	0.071
j1029_2	3	20.000	20.000	0.000	0.094
j1029_3	3	24.000	24.000	0.000	0.131
j1029_4	3	26.000	26.000	0.000	0.099
j1029_5	3	27.000	27.000	0.000	0.157
j1029_6	3	26.000	26.000	0.000	0.102
j1029_7	3	23.000	23.000	0.000	0.091
j1029_8	3	15.000	15.000	0.000	0.062
j1029_9	3	22.000	22.000	0.000	0.104
j1029_10	3	25.000	25.000	0.000	0.128
j1030_1	3	23.000	23.000	0.000	0.102
j1030_2	3	16.000	16.000	0.000	0.106
j1030_3	3	27.000	27.000	0.000	0.118
j1030_4	3	18.000	18.000	0.000	0.151
j1030_5	3	36.000	36.000	0.000	0.143
j1030_6	3	33.000	33.000	0.000	0.137
j1030_7	3	20.000	20.000	0.000	0.100
j1030_8	3	20.000	20.000	0.000	0.071
j1030_9	3	21.000	21.000	0.000	0.142
j1030_10	3	27.000	27.000	0.000	0.097
j1031_1	3	26.000	26.000	0.000	0.142
j1031_2	3	23.000	23.000	0.000	0.128
j1031_3	3	24.000	24.000	0.000	0.137
j1031_4	3	27.000	27.000	0.000	0.146
j1031_5	3	21.000	21.000	0.000	0.063
j1031_6	3	32.000	32.000	0.000	0.114
j1031_7	3	21.000	21.000	0.000	0.065
j1031_8	3	25.000	25.000	0.000	0.142
j1031_9	3	22.000	22.000	0.000	0.098
j1031_10	3	18.000	18.000	0.000	0.104
j1032_1	3	26.000	26.000	0.000	0.088
j1032_2	3	18.000	18.000	0.000	0.183
j1032_3	3	30.000	30.000	0.000	0.139
j1032_4	3	19.000	19.000	0.000	0.105
j1032_5	3	17.000	17.000	0.000	0.129
j1032_6	3	27.000	27.000	0.000	0.104
j1032_7	3	26.000	26.000	0.000	0.104
j1032_8	3	19.000	19.000	0.000	0.259
j1032_9	3	23.000	23.000	0.000	0.086
j1032_10	3	20.000	20.000	0.000	0.105
j1034_1	3	32.000	32.000	0.000	4.687
j1034_2	3	18.000	18.000	0.000	3.884
j1034_3	3	32.000	32.000	0.000	32.296
j1034_4	3	27.000	27.000	0.000	76.664
j1034_5	3	30.000	30.000	0.000	10.173
j1034_6	3	42.000	42.000	0.000	39.359
j1034_7	3	36.000	36.000	0.000	33.646
j1034_8	3	25.000	25.000	0.000	10.857
j1034_9	3	35.000	35.000	0.000	7.895
j1034_10	3	18.000	18.000	0.000	6.404
j1035_1	3	40.000	40.000	0.000	26.842
