instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	0	18.000	18.000	0.000	1	1.002	1.243
j102_4	0	18.000	18.000	0.000	1	9.722	10.051
j102_5	0	14.000	14.000	0.000	1	5.534	5.700
j102_6	0	16.000	16.000	0.000	1	4.907	5.066
j102_7	0	25.000	25.000	0.000	1	2.519	2.675
j102_9	0	17.000	17.000	0.000	1	5.030	5.190
j102_10	0	25.000	25.000	0.000	1	13.331	13.508
j103_2	0	13.000	13.000	0.000	1	1.261	1.504
j103_3	0	18.000	18.000	0.000	1	2.525	2.763
j103_4	0	23.000	23.000	0.000	1	1.739	1.917
j103_5	0	19.000	19.000	0.000	1	3.432	3.629
j103_6	0	29.000	29.000	0.000	1	14.872	15.051
j103_7	0	14.000	14.000	0.000	1	1.429	1.609
j103_8	0	23.000	23.000	0.000	1	5.025	5.200
j103_9	0	20.000	20.000	0.000	1	2.072	2.322
j103_10	0	16.000	16.000	0.000	1	0.673	0.853
j104_1	0	27.000	27.000	0.000	1	2.410	2.605
j104_2	0	20.000	20.000	0.000	1	3.226	3.413
j104_3	0	23.000	23.000	0.000	1	3.717	3.932
j104_4	0	15.000	15.000	0.000	1	4.391	4.547
j104_5	0	31.000	31.000	0.000	1	5.038	5.210
j104_6	0	21.000	21.000	0.000	1	0.753	1.084
j104_8	0	19.000	19.000	0.000	1	7.640	7.812
j104_9	0	21.000	21.000	0.000	1	2.801	2.972
j104_10	0	15.000	15.000	0.000	1	1.018	1.189
j105_1	0	32.000	32.000	0.000	1	4.720	4.877
j105_3	0	13.000	13.000	0.000	1	0.218	0.375
j105_4	0	14.000	14.000	0.000	1	1.678	1.855
j105_6	0	17.000	17.000	0.000	1	0.547	0.827
j105_8	0	21.000	21.000	0.000	1	7.005	7.217
j105_10	0	16.000	16.000	0.000	1	1.816	2.173
j106_1	0	17.000	17.000	0.000	1	0.662	0.833
j106_3	0	22.000	22.000	0.000	1	0.962	1.127
j106_4	0	19.000	19.000	0.000	1	3.460	3.623
j106_5	0	35.000	35.000	0.000	1	8.629	8.803
j106_7	0	20.000	20.000	0.000	1	6.200	6.497
j106_8	0	19.000	19.000	0.000	1	4.133	4.330
j107_1	0	13.000	13.000	0.000	1	0.958	1.124
j107_2	0	21.000	21.000	0.000	1	3.328	3.500
j107_3	0	21.000	21.000	0.000	1	4.590	4.746
j107_4	0	16.000	16.000	0.000	1	0.784	0.974
j107_5	0	24.000	24.000	0.000	1	1.392	1.575
j107_6	0	36.000	36.000	0.000	1	12.568	12.799
j107_8	0	31.000	31.000	0.000	1	6.647	6.807
j107_9	0	28.000	28.000	0.000	1	6.147	6.309
j108_3	0	17.000	17.000	0.000	1	0.594	0.812
j108_5	0	25.000	25.000	0.000	1	2.420	2.579
j108_6	0	23.000	23.000	0.000	1	3.941	4.183
j108_7	0	20.000	20.000	0.000	1	6.687	6.868
j108_8	0	14.000	14.000	0.000	1	1.398	1.629
j108_10	0	23.000	23.000	0.000	1	4.290	4.460
j1010_1	0	17.000	17.000	0.000	1	0.691	1.036
j1010_2	0	22.000	22.000	0.000	1	1.010	1.363
j1010_3	0	21.000	21.000	0.000	1	0.610	0.949
j1010_4	0	15.000	15.000	0.000	1	0.481	0.653
j1010_5	0	22.000	22.000	0.000	1	0.722	1.011
j1010_6	0	13.000	13.000	0.000	1	1.100	1.307
j1010_7	0	13.000	13.000	0.000	1	0.230	0.405
