instance	Gamma	objval	objbound	gap	runtime
j102_2	7	29.000	29.000	0.000	8.417
j102_4	7	28.000	28.000	0.000	7.562
j102_5	7	22.000	22.000	0.000	20.771
j102_6	7	26.000	26.000	0.000	31.442
j102_7	7	42.000	42.000	0.000	27.859
j102_9	7	27.000	27.000	0.000	16.201
j102_10	7	40.000	40.000	0.000	95.598
j103_2	7	20.000	20.000	0.000	6.761
j103_3	7	29.000	29.000	0.000	20.378
j103_4	7	36.000	36.000	0.000	23.999
j103_5	7	32.000	32.000	0.000	26.176
j103_6	7	46.000	46.000	0.000	54.031
j103_7	7	22.000	22.000	0.000	6.464
j103_8	7	37.000	37.000	0.000	40.345
j103_9	7	32.000	32.000	0.000	12.367
j103_10	7	25.000	25.000	0.000	7.152
j104_1	7	43.000	43.000	0.000	10.748
j104_2	7	32.000	32.000	0.000	28.707
j104_3	7	37.000	37.000	0.000	11.022
j104_4	7	22.000	22.000	0.000	16.063
j104_5	7	49.000	49.000	0.000	25.838
j104_6	7	34.000	34.000	0.000	5.063
j104_8	7	30.000	30.000	0.000	29.924
j104_9	7	33.000	33.000	0.000	12.106
j104_10	7	24.000	24.000	0.000	2.762
j105_1	7	53.000	53.000	0.000	27.551
j105_3	7	20.000	20.000	0.000	1.134
j105_4	7	22.000	22.000	0.000	7.122
j105_6	7	27.000	27.000	0.000	5.153
j105_8	7	33.000	33.000	0.000	37.865
j105_10	7	25.000	25.000	0.000	10.533
j106_1	7	27.000	27.000	0.000	6.131
j106_3	7	36.000	36.000	0.000	5.703
j106_4	7	29.000	29.000	0.000	27.882
j106_5	7	57.000	57.000	0.000	42.375
j106_7	7	32.000	32.000	0.000	22.480
j106_8	7	29.000	29.000	0.000	15.320
j107_1	7	20.000	20.000	0.000	12.019
j107_2	7	35.000	35.000	0.000	20.231
j107_3	7	34.000	34.000	0.000	14.416
j107_4	7	24.000	24.000	0.000	4.363
j107_5	7	39.000	39.000	0.000	13.552
j107_6	7	59.000	59.000	0.000	63.203
j107_8	7	50.000	50.000	0.000	39.458
j107_9	7	46.000	46.000	0.000	24.917
j108_3	7	27.000	27.000	0.000	6.887
j108_5	7	40.000	40.000	0.000	17.373
j108_6	7	36.000	36.000	0.000	35.257
j108_7	7	32.000	32.000	0.000	11.478
j108_8	7	21.000	21.000	0.000	5.313
j108_10	7	36.000	36.000	0.000	22.220
j1010_1	7	26.000	26.000	0.000	3.060
j1010_2	7	35.000	35.000	0.000	3.101
j1010_3	7	32.000	32.000	0.000	2.811
j1010_4	7	24.000	24.000	0.000	1.644
j1010_5	7	34.000	34.000	0.000	1.536
j1010_6	7	20.000	20.000	0.000	6.061
j1010_7	7	20.000	20.000	0.000	1.274
j1010_8	7	18.000	18.000	0.000	2.548
j1010_9	7	15.000	15.000	0.000	1.266
j1010_10	7	20.000	20.000	0.000	2.657
j1011_1	7	31.000	31.000	0.000	2.403
j1011_2	7	16.000	16.000	0.000	0.413
j1011_3	7	19.000	19.000	0.000	0.676
j1011_4	7	38.000	38.000	0.000	3.199
j1011_5	7	24.000	24.000	0.000	2.758
j1011_6	7	23.000	23.000	0.000	1.015
j1011_7	7	17.000	17.000	0.000	5.704
j1011_8	7	23.000	23.000	0.000	3.341
j1011_9	7	24.000	24.000	0.000	1.349
j1011_10	7	33.000	33.000	0.000	1.477
j1012_1	7	25.000	25.000	0.000	3.021
j1012_2	7	24.000	24.000	0.000	3.273
j1012_3	7	25.000	25.000	0.000	5.183
j1012_4	7	27.000	27.000	0.000	1.152
j1012_5	7	21.000	21.000	0.000	0.868
j1012_6	7	35.000	35.000	0.000	2.290
j1012_7	7	19.000	19.000	0.000	1.791
j1012_8	7	30.000	30.000	0.000	2.259
j1012_9	7	33.000	33.000	0.000	1.185
j1012_10	7	14.000	14.000	0.000	1.147
j1013_1	7	25.000	25.000	0.000	0.341
j1013_2	7	28.000	28.000	0.000	1.876
j1013_3	7	27.000	27.000	0.000	1.957
j1013_4	7	31.000	31.000	0.000	1.142
j1013_5	7	16.000	16.000	0.000	3.776
j1013_6	7	28.000	28.000	0.000	6.038
j1013_7	7	19.000	19.000	0.000	2.156
j1013_8	7	15.000	15.000	0.000	0.810
j1013_9	7	23.000	23.000	0.000	5.666
j1013_10	7	20.000	20.000	0.000	3.015
j1014_1	7	21.000	21.000	0.000	0.947
j1014_2	7	22.000	22.000	0.000	2.465
j1014_3	7	30.000	30.000	0.000	2.272
j1014_4	7	27.000	27.000	0.000	1.079
j1014_5	7	30.000	30.000	0.000	2.575
j1014_6	7	23.000	23.000	0.000	7.174
j1014_7	7	24.000	24.000	0.000	2.474
j1014_8	7	30.000	30.000	0.000	2.489
j1014_9	7	32.000	32.000	0.000	3.190
j1014_10	7	14.000	14.000	0.000	2.430
j1015_1	7	20.000	20.000	0.000	2.447
j1015_2	7	39.000	39.000	0.000	4.114
j1015_3	7	23.000	23.000	0.000	4.145
j1015_4	7	16.000	16.000	0.000	1.405
j1015_5	7	10.000	10.000	0.000	1.707
j1015_6	7	30.000	30.000	0.000	4.742
j1015_7	7	13.000	13.000	0.000	1.185
j1015_8	7	16.000	16.000	0.000	1.430
j1015_9	7	21.000	21.000	0.000	6.457
j1015_10	7	27.000	27.000	0.000	4.132
j1016_1	7	21.000	21.000	0.000	2.045
j1016_2	7	27.000	27.000	0.000	0.605
j1016_3	7	18.000	18.000	0.000	2.785
j1016_4	7	33.000	33.000	0.000	2.284
j1016_5	7	40.000	40.000	0.000	1.535
j1016_6	7	33.000	33.000	0.000	9.071
