instance	Gamma	objval	objbound	gap	runtime
j102_2	0	18.000	18.000	0.000	0.171
j102_4	0	18.000	18.000	0.000	0.316
j102_5	0	14.000	14.000	0.000	0.860
j102_6	0	16.000	16.000	0.000	0.707
j102_7	0	25.000	25.000	0.000	0.501
j102_9	0	17.000	17.000	0.000	0.718
j102_10	0	25.000	25.000	0.000	1.697
j103_2	0	13.000	13.000	0.000	0.227
j103_3	0	18.000	18.000	0.000	0.796
j103_4	0	23.000	23.000	0.000	0.346
j103_5	0	19.000	19.000	0.000	1.074
j103_6	0	29.000	29.000	0.000	1.880
j103_7	0	14.000	14.000	0.000	0.259
j103_8	0	23.000	23.000	0.000	1.427
j103_9	0	20.000	20.000	0.000	0.799
j103_10	0	16.000	16.000	0.000	0.127
j104_1	0	27.000	27.000	0.000	0.278
j104_2	0	20.000	20.000	0.000	0.546
j104_3	0	23.000	23.000	0.000	0.476
j104_4	0	15.000	15.000	0.000	0.881
j104_5	0	31.000	31.000	0.000	1.293
j104_6	0	21.000	21.000	0.000	0.206
j104_8	0	19.000	19.000	0.000	0.802
j104_9	0	21.000	21.000	0.000	0.363
j104_10	0	15.000	15.000	0.000	0.144
j105_1	0	32.000	32.000	0.000	0.592
j105_3	0	13.000	13.000	0.000	0.040
j105_4	0	14.000	14.000	0.000	0.312
j105_6	0	17.000	17.000	0.000	0.079
j105_8	0	21.000	21.000	0.000	1.105
j105_10	0	16.000	16.000	0.000	0.274
j106_1	0	17.000	16.999	0.000	0.112
j106_3	0	22.000	22.000	0.000	0.254
j106_4	0	19.000	19.000	0.000	0.625
j106_5	0	35.000	35.000	0.000	1.429
j106_7	0	20.000	20.000	0.000	1.204
j106_8	0	19.000	19.000	0.000	0.550
j107_1	0	13.000	13.000	0.000	0.253
j107_2	0	21.000	21.000	0.000	0.642
j107_3	0	21.000	21.000	0.000	0.870
j107_4	0	16.000	16.000	0.000	0.139
j107_5	0	24.000	24.000	0.000	0.516
j107_6	0	36.000	36.000	0.000	1.680
j107_8	0	31.000	31.000	0.000	1.898
j107_9	0	28.000	28.000	0.000	1.023
j108_3	0	17.000	17.000	0.000	0.102
j108_5	0	25.000	25.000	0.000	0.378
j108_6	0	23.000	23.000	0.000	0.634
j108_7	0	20.000	20.000	0.000	0.570
j108_8	0	14.000	14.000	0.000	0.273
j108_10	0	23.000	23.000	0.000	0.891
j1010_1	0	17.000	17.000	0.000	0.076
j1010_2	0	22.000	22.000	0.000	0.089
j1010_3	0	21.000	21.000	0.000	0.044
j1010_4	0	15.000	15.000	0.000	0.090
j1010_5	0	22.000	22.000	0.000	0.063
j1010_6	0	13.000	13.000	0.000	0.239
j1010_7	0	13.000	13.000	0.000	0.028
j1010_8	0	11.000	11.000	0.000	0.090
j1010_9	0	10.000	10.000	0.000	0.070
j1010_10	0	13.000	13.000	0.000	0.084
j1011_1	0	20.000	20.000	0.000	0.051
j1011_2	0	11.000	11.000	0.000	0.047
j1011_3	0	12.000	12.000	0.000	0.074
j1011_4	0	23.000	23.000	0.000	0.082
j1011_5	0	15.000	15.000	0.000	0.051
j1011_6	0	15.000	15.000	0.000	0.045
j1011_7	0	11.000	11.000	0.000	0.076
j1011_8	0	14.000	14.000	0.000	0.048
j1011_9	0	16.000	16.000	0.000	0.040
j1011_10	0	21.000	21.000	0.000	0.061
j1012_1	0	15.000	15.000	0.000	0.062
j1012_2	0	15.000	15.000	0.000	0.075
j1012_3	0	16.000	16.000	0.000	0.108
j1012_4	0	17.000	17.000	0.000	0.042
j1012_5	0	13.000	13.000	0.000	0.067
j1012_6	0	22.000	22.000	0.000	0.062
j1012_7	0	12.000	12.000	0.000	0.058
j1012_8	0	19.000	19.000	0.000	0.039
j1012_9	0	21.000	21.000	0.000	0.050
j1012_10	0	9.000	9.000	0.000	0.047
j1013_1	0	16.000	16.000	0.000	0.052
j1013_2	0	17.000	17.000	0.000	0.058
j1013_3	0	17.000	17.000	0.000	0.074
j1013_4	0	19.000	19.000	0.000	0.041
j1013_5	0	11.000	11.000	0.000	0.109
j1013_6	0	18.000	18.000	0.000	0.068
j1013_7	0	13.000	13.000	0.000	0.037
j1013_8	0	10.000	10.000	0.000	0.045
j1013_9	0	15.000	15.000	0.000	0.073
j1013_10	0	13.000	13.000	0.000	0.103
j1014_1	0	13.000	13.000	0.000	0.018
j1014_2	0	14.000	14.000	0.000	0.054
j1014_3	0	18.000	18.000	0.000	0.050
j1014_4	0	17.000	17.000	0.000	0.040
j1014_5	0	19.000	19.000	0.000	0.069
j1014_6	0	14.000	14.000	0.000	0.183
j1014_7	0	15.000	15.000	0.000	0.093
j1014_8	0	19.000	19.000	0.000	0.076
j1014_9	0	20.000	20.000	0.000	0.057
j1014_10	0	9.000	9.000	0.000	0.054
j1015_1	0	12.000	12.000	0.000	0.046
j1015_2	0	25.000	25.000	0.000	0.106
j1015_3	0	15.000	15.000	0.000	0.042
j1015_4	0	11.000	11.000	0.000	0.054
j1015_5	0	7.000	7.000	0.000	0.048
j1015_6	0	19.000	19.000	0.000	0.320
j1015_7	0	8.000	8.000	0.000	0.020
j1015_8	0	10.000	10.000	0.000	0.043
j1015_9	0	14.000	14.000	0.000	0.165
j1015_10	0	18.000	18.000	0.000	0.073
j1016_1	0	13.000	13.000	0.000	0.047
j1016_2	0	17.000	17.000	0.000	0.052
j1016_3	0	12.000	12.000	0.000	0.071
j1016_4	0	21.000	21.000	0.000	0.063
j1016_5	0	25.000	25.000	0.000	0.067
j1016_6	0	21.000	21.000	0.000	0.319
j1016_7	0	12.000	12.000	0.000	0.035
j1016_8	0	9.000	9.000	0.000	0.097
j1016_9	0	16.000	16.000	0.000	0.074
j1016_10	0	26.000	26.000	0.000	0.044
j1018_1	0	14.000	14.000	0.000	0.076
j1018_2	0	15.000	15.000	0.000	0.051
j1018_3	0	16.000	16.000	0.000	0.027
j1018_4	0	18.000	18.000	0.000	0.045
j1018_5	0	13.000	13.000	0.000	0.047
j1018_6	0	15.000	15.000	0.000	0.041
j1018_7	0	12.000	12.000	0.000	0.035
j1018_8	0	16.000	16.000	0.000	0.039
j1018_9	0	13.000	13.000	0.000	0.060
j1018_10	0	14.000	14.000	0.000	0.030
j1019_1	0	13.000	13.000	0.000	0.046
j1019_2	0	15.000	15.000	0.000	0.050
j1019_3	0	16.000	16.000	0.000	0.064
j1019_4	0	15.000	15.000	0.000	0.054
j1019_5	0	13.000	13.000	0.000	0.027
j1019_6	0	17.000	17.000	0.000	0.042
j1019_7	0	14.000	14.000	0.000	0.035
j1019_8	0	15.000	15.000	0.000	0.050
j1019_9	0	12.000	12.000	0.000	0.098
j1019_10	0	11.000	11.000	0.000	0.047
j1020_1	0	12.000	12.000	0.000	0.040
j1020_2	0	18.000	18.000	0.000	0.050
j1020_3	0	21.000	21.000	0.000	0.038
j1020_4	0	17.000	17.000	0.000	0.042
j1020_5	0	12.000	12.000	0.000	0.064
j1020_6	0	20.000	20.000	0.000	0.045
j1020_8	0	12.000	12.000	0.000	0.055
j1020_9	0	9.000	9.000	0.000	0.044
j1020_10	0	10.000	10.000	0.000	0.062
j1021_1	0	17.000	17.000	0.000	0.035
j1021_2	0	13.000	13.000	0.000	0.021
j1021_3	0	26.000	26.000	0.000	0.059
j1021_4	0	12.000	12.000	0.000	0.057
j1021_5	0	23.000	23.000	0.000	0.054
j1021_6	0	14.000	14.000	0.000	0.046
j1021_7	0	11.000	11.000	0.000	0.033
j1021_8	0	12.000	12.000	0.000	0.128
j1021_9	0	12.000	12.000	0.000	0.109
j1021_10	0	16.000	16.000	0.000	0.055
j1022_1	0	18.000	18.000	0.000	0.075
j1022_2	0	10.000	10.000	0.000	0.030
j1022_3	0	20.000	20.000	0.000	0.039
j1022_4	0	13.000	13.000	0.000	0.059
j1022_5	0	12.000	12.000	0.000	0.038
j1022_6	0	16.000	16.000	0.000	0.035
j1022_7	0	8.000	8.000	0.000	0.035
j1022_8	0	17.000	17.000	0.000	0.067
j1022_9	0	18.000	18.000	0.000	0.038
j1022_10	0	16.000	16.000	0.000	0.047
j1023_1	0	13.000	13.000	0.000	0.047
j1023_2	0	15.000	15.000	0.000	0.033
j1023_3	0	16.000	16.000	0.000	0.039
j1023_4	0	16.000	16.000	0.000	0.051
j1023_5	0	14.000	14.000	0.000	0.061
j1023_6	0	18.000	18.000	0.000	0.051
j1023_8	0	18.000	18.000	0.000	0.059
j1023_9	0	11.000	11.000	0.000	0.030
j1023_10	0	15.000	15.000	0.000	0.026
j1024_1	0	8.000	8.000	0.000	0.030
j1024_2	0	14.000	14.000	0.000	0.032
j1024_3	0	10.000	10.000	0.000	0.029
j1024_4	0	15.000	15.000	0.000	0.043
j1024_5	0	14.000	14.000	0.000	0.042
j1024_6	0	16.000	16.000	0.000	0.041
j1024_7	0	17.000	17.000	0.000	0.053
j1024_8	0	25.000	25.000	0.000	0.059
j1024_9	0	10.000	10.000	0.000	0.034
j1024_10	0	15.000	15.000	0.000	0.055
j1026_1	0	14.000	14.000	0.000	0.036
j1026_2	0	11.000	11.000	0.000	0.034
j1026_3	0	16.000	16.000	0.000	0.027
j1026_4	0	14.000	14.000	0.000	0.041
j1026_5	0	17.000	17.000	0.000	0.030
j1026_6	0	18.000	18.000	0.000	0.039
j1026_7	0	14.000	14.000	0.000	0.030
j1026_8	0	15.000	15.000	0.000	0.036
j1026_9	0	11.000	11.000	0.000	0.020
j1026_10	0	15.000	15.000	0.000	0.034
j1027_1	0	15.000	15.000	0.000	0.032
j1027_2	0	12.000	12.000	0.000	0.056
j1027_3	0	15.000	15.000	0.000	0.034
j1027_4	0	15.000	15.000	0.000	0.045
j1027_5	0	16.000	16.000	0.000	0.043
j1027_6	0	14.000	14.000	0.000	0.032
j1027_7	0	10.000	10.000	0.000	0.027
j1027_8	0	12.000	12.000	0.000	0.022
j1027_9	0	15.000	15.000	0.000	0.030
j1027_10	0	14.000	14.000	0.000	0.039
j1028_1	0	19.000	19.000	0.000	0.039
j1028_2	0	24.000	24.000	0.000	0.057
j1028_3	0	20.000	20.000	0.000	0.054
j1028_4	0	16.000	16.000	0.000	0.035
j1028_5	0	18.000	18.000	0.000	0.040
j1028_6	0	9.000	9.000	0.000	0.023
j1028_7	0	15.000	15.000	0.000	0.027
j1028_8	0	16.000	16.000	0.000	0.032
j1028_9	0	12.000	12.000	0.000	0.027
j1028_10	0	18.000	18.000	0.000	0.034
j1029_1	0	15.000	15.000	0.000	0.024
j1029_2	0	13.000	13.000	0.000	0.032
j1029_3	0	16.000	16.000	0.000	0.042
j1029_4	0	17.000	17.000	0.000	0.027
j1029_5	0	17.000	17.000	0.000	0.035
j1029_6	0	16.000	16.000	0.000	0.038
j1029_7	0	14.000	14.000	0.000	0.029
j1029_8	0	10.000	10.000	0.000	0.019
j1029_9	0	14.000	14.000	0.000	0.054
j1029_10	0	16.000	16.000	0.000	0.032
j1030_1	0	15.000	15.000	0.000	0.035
j1030_2	0	11.000	11.000	0.000	0.045
j1030_3	0	17.000	17.000	0.000	0.042
j1030_4	0	12.000	12.000	0.000	0.018
j1030_5	0	24.000	24.000	0.000	0.042
j1030_6	0	22.000	22.000	0.000	0.040
j1030_7	0	13.000	13.000	0.000	0.022
j1030_8	0	13.000	13.000	0.000	0.026
j1030_9	0	14.000	14.000	0.000	0.047
j1030_10	0	17.000	17.000	0.000	0.035
j1031_1	0	17.000	17.000	0.000	0.032
j1031_2	0	15.000	15.000	0.000	0.038
j1031_3	0	15.000	15.000	0.000	0.036
j1031_4	0	18.000	18.000	0.000	0.054
j1031_5	0	15.000	15.000	0.000	0.017
j1031_6	0	20.000	20.000	0.000	0.032
j1031_7	0	14.000	14.000	0.000	0.041
j1031_8	0	16.000	16.000	0.000	0.049
j1031_9	0	14.000	14.000	0.000	0.033
j1031_10	0	12.000	12.000	0.000	0.042
j1032_1	0	17.000	17.000	0.000	0.048
j1032_2	0	12.000	12.000	0.000	0.046
j1032_3	0	19.000	19.000	0.000	0.050
j1032_4	0	12.000	12.000	0.000	0.032
j1032_5	0	11.000	11.000	0.000	0.032
j1032_6	0	17.000	17.000	0.000	0.037
j1032_7	0	16.000	16.000	0.000	0.038
j1032_8	0	12.000	12.000	0.000	0.034
j1032_9	0	15.000	15.000	0.000	0.025
j1032_10	0	13.000	13.000	0.000	0.026
j1034_1	0	23.000	23.000	0.000	1.365
j1034_2	0	12.000	12.000	0.000	1.544
j1034_3	0	23.000	23.000	0.000	6.371
j1034_4	0	21.000	21.000	0.000	92.599
j1034_5	0	22.000	22.000	0.000	1.910
j1034_6	0	28.000	28.000	0.000	4.384
j1034_7	0	26.000	26.000	0.000	24.226
j1034_8	0	19.000	19.000	0.000	32.222
j1034_9	0	26.000	26.000	0.000	3.260
j1034_10	0	14.000	14.000	0.000	13.913
j1035_1	0	28.000	28.000	0.000	3.468
j1035_2	0	32.000	32.000	0.000	9.177
j1035_3	0	34.000	34.000	0.000	74.737
j1035_4	0	23.000	23.000	0.000	3.129
j1035_5	0	24.000	24.000	0.000	1.922
j1035_6	0	19.000	19.000	0.000	1.833
j1035_7	0	22.000	22.000	0.000	13.256
j1035_8	0	28.000	28.000	0.000	9.958
j1035_9	0	18.000	18.000	0.000	2.141
j1035_10	0	20.000	20.000	0.000	5.214
